puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
36,expert,backtracking,2,,True,42.351,4026,4986,54,0,0,0,solved
37,expert,backtracking,0,,True,262.397,20409,27374,54,0,0,0,solved
37,expert,backtracking,1,,True,195.156,20409,27374,54,0,0,0,solved
37,expert,backtracking,2,,True,193.495,20409,27374,54,0,0,0,solved
38,expert,backtracking,0,,True,451.099,42260,55118,54,0,0,0,solved
38,expert,backtracking,1,,True,425.877,42260,55118,54,0,0,0,solved
38,expert,backtracking,2,,True,418.413,42260,55118,54,0,0,0,solved
39,expert,backtracking,0,,True,57.695,4986,6184,54,0,0,0,solved
39,expert,backtracking,1,,True,48.974,4986,6184,54,0,0,0,solved
39,expert,backtracking,2,,True,62.209,4986,6184,54,0,0,0,solved
40,expert,backtracking,0,,True,11.978,894,1097,54,0,0,0,solved
40,expert,backtracking,1,,True,14.235,894,1097,54,0,0,0,solved
40,expert,backtracking,2,,True,9.662,894,1097,54,0,0,0,solved
1,easy,mrv,0,,True,3.677,35,0,35,0,0,0,solved
1,easy,mrv,1,,True,3.533,35,0,35,0,0,0,solved
1,easy,mrv,2,,True,3.675,35,0,35,0,0,0,solved
2,easy,mrv,0,,True,3.345,35,0,35,0,0,0,solved
2,easy,mrv,1,,True,3.281,35,0,35,0,0,0,solved
2,easy,mrv,2,,True,4.307,35,0,35,0,0,0,solved
3,easy,mrv,0,,True,4.706,35,0,35,0,0,0,solved
3,easy,mrv,1,,True,4.607,35,0,35,0,0,0,solved
3,easy,mrv,2,,True,4.001,35,0,35,0,0,0,solved
4,easy,mrv,0,,True,3.732,35,0,35,0,0,0,solved
4,easy,mrv,1,,True,3.523,35,0,35,0,0,0,solved
4,easy,mrv,2,,True,4.089,35,0,35,0,0,0,solved
5,easy,mrv,0,,True,4.656,35,0,35,0,0,0,solved
5,easy,mrv,1,,True,4.32,35,0,35,0,0,0,solved
5,easy,mrv,2,,True,4.293,35,0,35,0,0,0,solved
6,easy,mrv,0,,True,4.337,35,0,35,0,0,0,solved
6,easy,mrv,1,,True,4.224,35,0,35,0,0,0,solved
6,easy,mrv,2,,True,4.195,35,0,35,0,0,0,solved
7,easy,mrv,0,,True,4.105,35,0,35,0,0,0,solved
7,easy,mrv,1,,True,4.051,35,0,35,0,0,0,solved
7,easy,mrv,2,,True,3.741,35,0,35,0,0,0,solved
8,easy,mrv,0,,True,3.658,35,0,35,0,0,0,solved
8,easy,mrv,1,,True,3.585,35,0,35,0,0,0,solved
8,easy,mrv,2,,True,4.308,35,0,35,0,0,0,solved
9,easy,mrv,0,,True,4.234,35,0,35,0,0,0,solved
9,easy,mrv,1,,True,4.179,35,0,35,0,0,0,solved
9,easy,mrv,2,,True,4.213,35,0,35,0,0,0,solved
10,easy,mrv,0,,True,4.236,35,0,35,0,0,0,solved
10,easy,mrv,1,,True,4.289,35,0,35,0,0,0,solved
10,easy,mrv,2,,True,4.313,35,0,35,0,0,0,solved
11,medium,mrv,0,,True,5.416,43,0,43,0,0,0,solved
11,medium,mrv,1,,True,5.901,43,0,43,0,0,0,solved
11,medium,mrv,2,,True,5.316,43,0,43,0,0,0,solved
12,medium,mrv,0,,True,4.903,45,3,43,0,0,0,solved
12,medium,mrv,1,,True,7.35,45,3,43,0,0,0,solved
12,medium,mrv,2,,True,6.597,45,3,43,0,0,0,solved
13,medium,mrv,0,,True,6.985,43,0,43,0,0,0,solved
13,medium,mrv,1,,True,6.388,43,0,43,0,0,0,solved
13,medium,mrv,2,,True,4.983,43,0,43,0,0,0,solved
